name_hebrew,rate_percent,ceiling,deduction
אבו סנאן,12,186000,22320
אבו קורינאת (יישוב),12,213240,25589
אבו תלול,12,213240,25589
אביבים,14,219960,30794
אביגיל,10,180000,18000
אבירים,12,213240,25589
אבן מנחם,12,213240,25589
אבן שמואל,7,146640,10265
אבני איתן,12,213240,25589
אבנת,12,213240,25589
אבשלום,20,267840,53568
אדורה,7,146640,10265
אדוריים,7,146640,10265
אדמית,14,219960,30794
אודם,12,213240,25589
אוהד,20,267840,53568
אום בטין,12,213240,25589
אופקים,18,259920,46786
אור הגנוז,12,213240,25589
אור הנר,20,267840,53568
אורטל,12,213240,25589
אורים,14,180000,25200
אחוזם,7,146640,10265
אחיהוד,7,146640,10265
איבים,20,267840,53568
איילת השחר,7,146640,10265
אילון,12,213240,25589
אילות,12,213240,25589
איתן,7,146640,10265
אל -רום,12,213240,25589
אל סייד,12,213240,25589
אלומות,12,213240,25589
אלוני הבשן,14,219960,30794
אלי-עד,12,213240,25589
אליאב,7,146640,10265
אליפז,12,213240,25589
אליפלט,7,146640,10265
אלמגור,7,146640,10265
אלקוש,12,213240,25589
אמירים,10,180000,18000
אמנון,7,146640,10265
אמציה,7,146640,10265
אניעם,7,146640,10265
אספר,12,213240,25589
אפיק,12,213240,25589
אפיקים,12,213240,25589
ארגמן,12,213240,25589
ארז,20,267840,53568
אשבול,7,146640,10265
אשבל,7,146640,10265
אשדות יעקב (איחוד),12,213240,25589
אשחר,7,146640,10265
אשכולות,7,146640,10265
אשל הנשיא,7,146640,10265
אשלים,7,146640,10265
אשקלון,7,146640,10265
אשרת,7,146640,10265
באר אורה,12,213240,25589
באר מילכה,12,213240,25589
בארי,20,267840,53568
בוסתן הגליל,7,146640,10265
בוקעאתא,12,213240,25589
בטחה,7,146640,10265
ביר הדאג',12,213240,25589
ביריי ה,10,180000,18000
בית ג'ן,14,259920,36389
בית הגדי,14,180000,25200
בית הלל,12,213240,25589
בית העמק,7,146640,10265
בית הערבה,10,180000,18000
בית זרע,12,213240,25589
בית חוגלה,10,180000,18000
בית יוסף,12,213240,25589
בית קמה,7,146640,10265
בית שאן,12,213240,25589
בן עמ י,10,180000,18000
בני דקלים,7,146640,10265
בני יהוד ה,10,180000,18000
בני נצרים,20,267840,53568
בענה,12,186000,22320
בצת,12,186600,22392
בר יוחא י,12,213240,25589
ברור חי ל,20,267840,53568
ברוש,7,146640,10265
ברעם,14,219960,30794
בתרון,12,213240,25589
ג'דיידה-מכר,12,186000,22320
ג'ולס,7,146640,10265
ג'ש (גוש חלב),12,213240,25589
גבולות,14,180000,25200
גבים,20,267840,53568
