name_hebrew,rate_percent,ceiling,deduction,lat,lon
אבו סנאן,12,186000,22320,32.9575,35.172777777778
אבו קורינאת (יישוב),12,213240,25589,31.1020379,34.9529995
אבו תלול,12,213240,25589,31.1434,34.9137
אביבים,14,219960,30794,33.089222222222,35.472063888889
אביגיל,10,180000,18000,31.4703,34.9474
אבירים,12,213240,25589,33.039569444444,35.287408333333
אבן מנחם,12,213240,25589,33.073827777778,35.294938888889
אבן שמואל,7,146640,10265,31.575397222222,34.7629
אבני איתן,12,213240,25589,32.8246384,35.7667337
אבנת,12,213240,25589,31.2683,34.7756
אבשלום,20,267840,53568,31.195402777778,34.331633333333
אדורה,7,146640,10265,31.552222222222,35.018888888889
אדוריים,7,146640,10265,31.5128,34.9274
אדמית,14,219960,30794,33.078408333333,35.210997222222
אודם,12,213240,25589,33.1943741,35.7483145
אוהד,20,267840,53568,31.236997222222,34.4322
אום בטין,12,213240,25589,31.280311111111,34.884852777778
אופקים,18,259920,46786,31.283333333333,34.616666666667
אור הגנוז,12,213240,25589,33.0051,35.445458333333
אור הנר,20,267840,53568,31.5575,34.601997222222
אורטל,12,213240,25589,33.085,35.761388888889
אורים,14,180000,25200,31.303888888889,34.5225
אחוזם,7,146640,10265,31.553997222222,34.769797222222
אחיהוד,7,146640,10265,32.9078,35.1721
איבים,20,267840,53568,31.533597222222,34.609697222222
איילת השחר,7,146640,10265,33.022797222222,35.577597222222
אילון,12,213240,25589,33.0636,35.2205
אילות,12,213240,25589,29.581397222222,34.963
איתן,7,146640,10265,31.571997222222,34.748397222222
אל -רום,12,213240,25589,33.1796457,35.7721224
אל סייד,12,213240,25589,31.2832614,34.9130197
אלומות,12,213240,25589,32.7068,35.545997222222
אלוני הבשן,14,219960,30794,33.0441337,35.83924
אלי-עד,12,213240,25589,32.805058333333,35.734127777778
אליאב,7,146640,10265,31.531580555556,34.933002777778
אליפז,12,213240,25589,29.797297222222,35.0114
אליפלט,7,146640,10265,32.9474,35.5489
אלמגור,7,146640,10265,32.9125,35.6021
אלקוש,12,213240,25589,33.033227777778,35.322727777778
אמירים,10,180000,18000,32.938241666667,35.451733333333
אמנון,7,146640,10265,32.904497222222,35.5709
אמציה,7,146640,10265,31.532597222222,34.9136
אניעם,7,146640,10265,32.9568708,35.7397621
אספר,12,213240,25589,31.488,34.993
אפיק,12,213240,25589,32.779722222222,35.701388888889
אפיקים,12,213240,25589,32.6796,35.5778
ארגמן,12,213240,25589,32.1412,35.549
ארז,20,267840,53568,31.559897222222,34.566097222222
אשבול,7,146640,10265,31.4465,34.667097222222
אשבל,7,146640,10265,32.8768,35.3061
אשדות יעקב (איחוד),12,213240,25589,32.65805556,35.58194444
אשחר,7,146640,10265,32.884866666667,35.301347222222
אשכולות,7,146640,10265,31.4256,34.6403
אשל הנשיא,7,146640,10265,31.326827777778,34.697497222222
אשלים,7,146640,10265,30.962497222222,34.7015
אשקלון,7,146640,10265,31.665833333333,34.566388888889
אשרת,7,146640,10265,32.9716,35.1554
באר אורה,12,213240,25589,29.711097222222,34.9791
באר מילכה,12,213240,25589,30.932311111111,34.407680555556
בארי,20,267840,53568,31.423888888889,34.489722222222
בוסתן הגליל,7,146640,10265,32.9512,35.082797222222
בוקעאתא,12,213240,25589,33.201388888889,35.779722222222
בטחה,7,146640,10265,31.334397222222,34.632397222222
ביר הדאג',12,213240,25589,31.0262625,34.7031024
ביריי ה,10,180000,18000,32.9553,35.4467
בית ג'ן,14,259920,36389,32.9653591,35.3764034
בית הגדי,14,180000,25200,31.424497222222,34.6062
בית הלל,12,213240,25589,33.2075,35.605697222222
בית העמק,7,146640,10265,32.971097222222,35.144897222222
בית הערבה,10,180000,18000,31.7301,35.4522
בית זרע,12,213240,25589,32.688897222222,35.573397222222
בית חוגלה,10,180000,18000,31.8267,35.4403
בית יוסף,12,213240,25589,32.558597222222,35.551697222222
בית קמה,7,146640,10265,31.445588888889,34.760544444444
בית שאן,12,213240,25589,32.496111111111,35.498888888889
בן עמ י,10,180000,18000,33.0065,35.1246
בני דקלים,7,146640,10265,31.51772118,34.91734695
בני יהוד ה,10,180000,18000,32.801106,35.663113
בני נצרים,20,267840,53568,31.161978,34.329889
בענה,12,186000,22320,32.928488888889,35.267786111111
בצת,12,186600,22392,33.0707,35.135897222222
בר יוחא י,12,213240,25589,32.997888888889,35.448938888889
ברור חי ל,20,267840,53568,31.5577,34.646997222222
ברוש,7,146640,10265,31.370797222222,34.633
ברעם,14,219960,30794,33.058333333333,35.433333333333
בתרון,12,213240,25589,31.9074,34.7969
ג'דיידה-מכר,12,186000,22320,32.928333333333,35.156944444444
ג'ולס,7,146640,10265,32.8911,35.1672
ג'ש (גוש חלב),12,213240,25589,33.0239309,35.4450316
גבולות,14,180000,25200,31.2103,34.466097222222
גבים,20,267840,53568,31.5075,34.598611111111
גבעולים,14,180000,25200,31.396697222222,34.5915
גבעות בר,7,146640,10265,31.3566,34.756197222222
גבעת יואב,7,146640,10265,32.7967624,35.681303
גברעם,20,267840,53568,31.592197222222,34.612697222222
גדות,7,146640,10265,33.018,35.617197222222
גונן,7,146640,10265,33.122397222222,35.646397222222
גורן,12,213240,25589,33.0566,35.239197222222
גורנות הגליל,12,213240,25589,32.8338,35.2731
גילון,7,146640,10265,32.9031,35.2357
גילת,7,146640,10265,31.328497222222,34.649997222222
גינוסר,7,146640,10265,32.8475,35.522777777778
גיתה,7,146640,10265,32.966558333333,35.239197222222
געתון,10,180000,18000,33.006197222222,35.2145
גרופי ת,12,213240,25589,29.943597222222,35.068697222222
גשור,7,146640,10265,32.8191803,35.716008
גשר,12,213240,25589,32.621302777778,35.5521
גשר הזיו,10,180000,18000,33.039,35.111297222222
דביר,7,146640,10265,31.412297222222,34.825697222222
דגניה א',12,213240,25589,32.7084791,35.5748582
דגניה ב',12,213240,25589,32.6999198,35.5747095
"דוב""ב",14,219960,30794,33.0524574,35.4074874
דורו ת,20,267840,53568,31.506397222222,34.6454
דייר אל-אסד,12,186000,22320,32.9076,35.2172
דייר חנ א,12,186000,22320,32.8577,35.3683
דימונה,18,245400,44172,31.07,35.03
דישון,14,219960,30794,33.081572222222,35.516858333333
דלתון,12,213240,25589,33.0161,35.487497222222
דן,12,213240,25589,33.240277777778,35.653055555556
דפנה,14,219960,30794,33.23,35.638611111111
דקל,20,267840,53568,31.1947,34.3485
דריג'את,12,213240,25589,31.299416666667,35.076213888889
האון,12,213240,25589,32.724727777778,35.621838888889
הגושרים,12,213240,25589,33.220833333333,35.623611111111
הילה,12,213240,25589,33.0358267,35.2443398
הר עמשא,7,146640,10265,31.343297222222,35.1017
הררית,7,146640,10265,32.846111111111,35.368055555556
זיקים,20,267840,53568,31.6079,34.521797222222
זמרת,20,267840,53568,31.448197222222,34.550697222222
זרועה,14,180000,25200,31.4582,34.6246
חג י,7,146640,10265,31.4607,35.0694
חד-נס,7,146640,10265,32.928396,35.6429709
חולית,20,267840,53568,31.2301,34.326597222222
חולתה,7,146640,10265,33.051697222222,35.609697222222
